FXDate,USD2CAD,CAD2USD
2016-01-01,1.3831,0.7228
2016-01-02,1.3831,0.7228
2016-01-03,1.3831,0.7228
2016-01-04,1.3906,0.719
2016-01-05,1.3942,0.7172
2016-01-06,1.4051,0.7116
2016-01-07,1.41,0.7091
2016-01-08,1.4106,0.7088
2016-01-09,1.4169,0.7055
2016-01-10,1.4169,0.7055
2016-01-11,1.4163,0.7059
2016-01-12,1.4236,0.7023
2016-01-13,1.4254,0.7015
2016-01-14,1.4363,0.6961
2016-01-15,1.4447,0.6921
2016-01-16,1.4536,0.6878
2016-01-17,1.4536,0.6878
2016-01-18,1.453,0.6881
2016-01-19,1.4507,0.6892
2016-01-20,1.4602,0.6847
2016-01-21,1.4432,0.6928
2016-01-22,1.4214,0.7034
2016-01-23,1.4117,0.7079
2016-01-24,1.4116,0.7079
2016-01-25,1.4179,0.7051
2016-01-26,1.4218,0.7032
2016-01-27,1.4104,0.7089
2016-01-28,1.4079,0.7102
2016-01-29,1.4032,0.7125
2016-01-30,1.397,0.7153
2016-01-31,1.397,0.7153
2016-02-01,1.4003,0.714
2016-02-02,1.4003,0.714
2016-02-03,1.3979,0.7152
2016-02-04,1.3732,0.7281
2016-02-05,1.3774,0.7259
2016-02-06,1.3912,0.7183
2016-02-07,1.3913,0.7183
2016-02-08,1.3904,0.7191
2016-02-09,1.39,0.7193
2016-02-10,1.3896,0.7195
2016-02-11,1.3948,0.7168
2016-02-12,1.3901,0.7192
2016-02-13,1.3844,0.7218
2016-02-14,1.3843,0.7219
2016-02-15,1.3825,0.7231
2016-02-16,1.3811,0.7239
2016-02-17,1.382,0.7235
2016-02-18,1.3686,0.7305
2016-02-19,1.3771,0.726
2016-02-20,1.3765,0.7262
2016-02-21,1.3764,0.7262
2016-02-22,1.3739,0.7277
2016-02-23,1.3736,0.7279
2016-02-24,1.3792,0.725
2016-02-25,1.3662,0.7318
2016-02-26,1.3533,0.7388
2016-02-27,1.3511,0.7398
2016-02-28,1.351,0.7399
2016-02-29,1.3535,0.7387
2016-03-01,1.3497,0.7408
2016-03-02,1.3441,0.7439
2016-03-03,1.342,0.745
2016-03-04,1.34,0.7462
2016-03-05,1.3313,0.7507
2016-03-06,1.3312,0.7507
2016-03-07,1.3332,0.7499
2016-03-08,1.3338,0.7496
2016-03-09,1.3379,0.7473
2016-03-10,1.3286,0.7525
2016-03-11,1.3268,0.7535
2016-03-12,1.3212,0.7565
2016-03-13,1.3211,0.7565
2016-03-14,1.3248,0.7547
2016-03-15,1.333,0.75
2016-03-16,1.3333,0.7499
2016-03-17,1.3045,0.7665
2016-03-18,1.2992,0.7695
2016-03-19,1.3,0.7687
2016-03-20,1.3,0.7687
2016-03-21,1.3057,0.7657
2016-03-22,1.3071,0.7649
2016-03-23,1.311,0.7626
2016-03-24,1.3242,0.755
2016-03-25,1.3248,0.7545
2016-03-26,1.326,0.7536
2016-03-27,1.326,0.7536
2016-03-28,1.3232,0.7556
2016-03-29,1.3163,0.7596
2016-03-30,1.3023,0.7677
2016-03-31,1.2967,0.7711
2016-04-01,1.3028,0.7674
2016-04-02,1.3008,0.7683
2016-04-03,1.3008,0.7683
2016-04-04,1.3047,0.7663
2016-04-05,1.313,0.7615
2016-04-06,1.3135,0.7612
2016-04-07,1.3103,0.7631
2016-04-08,1.3069,0.765
2016-04-09,1.2984,0.7696
2016-04-10,1.2984,0.7696
2016-04-11,1.296,0.7714
2016-04-12,1.2862,0.7774
2016-04-13,1.2786,0.782
2016-04-14,1.2841,0.7786
2016-04-15,1.2838,0.7788
2016-04-16,1.2815,0.7797
2016-04-17,1.2815,0.7797
