"Site Name1","Impression Source","Site Active","SiteAlias Name","Alias Active","Platform","Display Revenue Model","Minimum Display CPM Currency","Minimum Display CPM","Display Rev Share","LevelOne","APNX Publisher ID 2437","ID1","ID2","Associated BU: Account Name","Partnership Type","Account ID","Account Name","Account Status","Site ID","Site Property Name","SiteAlias ID","Alias Name","Passback","Source"
"SI-0386","DFP","1","SA-1407","1","AppNexus","Model 1","USD","","70","1","466652","971544","","Redux Media Inc.","Remnant Exclusive","00160000014PoRE","123 greetings","Inactive","a1F60000004CzsZ","123greetings","a1G6000000DP3jQ","Passback - 123greetings.com","1","Web"
"SI-0386","DFP","1","SA-1406","1","AppNexus","Model 1","USD","","70","1","466652","951467","","Redux Media Inc.","Remnant Exclusive","00160000014PoRE","123 greetings","Inactive","a1F60000004CzsZ","123greetings","a1G6000000DP3jP","123greetings.com - Canada Exclusive","0","Web"
"SI-0386","DFP","1","SA-1405","1","AppNexus","Model 1","USD","","70","1","466652","1148870","","Redux Media Inc.","Remnant Exclusive","00160000014PoRE","123 greetings","Inactive","a1F60000004CzsZ","123greetings","a1G6000000DP3jO","123greetings.com - Canada ATF","0","Web"
"SI-0386","DFP","1","SA-0789","1","DFP","Model 1","USD","","70","1","466652","90147405","-","Redux Media Inc.","Remnant Exclusive","00160000014PoRE","123 greetings","Inactive","a1F60000004CzsZ","123greetings","a1G6000000DP3Yt","tc.en.rh.redux.atf.123greetings","0","Web"
"SI-0386","DFP","1","SA-0788","1","DFP","Model 1","USD","","70","1","466652","90148245","-","Redux Media Inc.","Remnant Exclusive","00160000014PoRE","123 greetings","Inactive","a1F60000004CzsZ","123greetings","a1G6000000DP3Ys","tc.en.rh.redux.123greetings.mobs","0","Mobile"
"SI-0386","DFP","1","SA-0787","1","DFP","Model 1","USD","","70","1","466652","84518685","-","Redux Media Inc.","Remnant Exclusive","00160000014PoRE","123 greetings","Inactive","a1F60000004CzsZ","123greetings","a1G6000000DP3Yr","tc.en.rh.redux.123greetings","0","Web"
"SI-0697","AppNexus","1","SA-1895","1","AppNexus","Model 1","USD","0.50","70","1","323160","621132","","Redux Media Inc.","Rep House Exclusive","0016000000lD5DG","247Sports.com","Inactive","a1F60000004D828","247 Sports","a1G6000000DP6Qt","247Sports","0","Web"
"SI-0698","AppNexus","1","SA-1896","1","AppNexus","Model 1","CAD","","75","1","392382","757332","","Redux Media Inc.","Rep House Exclusive","0016000000gmLwz","33 universal","Active","a1F60000004D82D","designntrend.com","a1G6000000DP6Qu","designntrend.com - Canada Exclusive","0","Web"
"SI-0703","AppNexus","1","SA-1901","1","AppNexus","Model 1","CAD","","75","1","392382","757575","","Redux Media Inc.","Rep House Exclusive","0016000000gmLwz","33 universal","Active","a1F60000004D82c","LatinosPost.com","a1G6000000DP6Qz","LatinosPost.com - Canada Exclusive","0","Web"
"SI-0707","AppNexus","1","SA-2257","1","AppNexus","Model 1","CAD","","75","1","392382","1926188","-","Redux Media Inc.","Rep House Exclusive","0016000000gmLwz","33 universal","Active","a1F60000004D82w","Sportsworldreport.com","a1G6000000DoQS0","Sportsworldnews.com - Canada Exclusive","0","Web"
